id,user_id,resource_type,resource_id,action,allowed,policy_id,deny_reasons,risk_score,timestamp,ip_address,user_agent
1,anonymous,Authentication,/api/auth/login,GET,False,DENY_HTTP_500,HTTP_500,0,2026-01-14 15:16:16.719061,172.19.0.1,PostmanRuntime/7.51.0
2,anonymous,Authentication,/api/auth/login,POST,False,DENY_UNAUTHENTICATED,HTTP_401,0,2026-01-14 15:34:35.684372,172.19.0.1,PostmanRuntime/7.51.0
3,anonymous,Authentication,/api/auth/login,POST,False,DENY_UNAUTHENTICATED,HTTP_401,0,2026-01-14 15:34:40.116583,172.19.0.1,PostmanRuntime/7.51.0
4,anonymous,Authentication,/api/auth/login,POST,False,DENY_UNAUTHENTICATED,HTTP_401,0,2026-01-14 15:36:48.079386,172.19.0.1,PostmanRuntime/7.51.0
5,U0001,Authentication,/api/auth/login,POST,True,ALLOW_Authentication_POST,HTTP_200,0,2026-01-14 15:38:29.921108,172.19.0.1,PostmanRuntime/7.51.0
6,U0001,PatientProfile,,read,True,ALLOW_Doctor_PatientProfile_read,HTTP_200,0,2026-01-14 15:53:37.560872,,
7,U0001,PatientProfile,,read,True,ALLOW_Doctor_PatientProfile_read,HTTP_200,0,2026-01-14 16:04:51.136592,,
8,U0001,PatientProfile,,read,True,ALLOW_Doctor_PatientProfile_read,HTTP_200,0,2026-01-14 16:04:51.918390,,
9,U0001,PatientProfile,,read,True,ALLOW_Doctor_PatientProfile_read,HTTP_200,0,2026-01-14 16:04:52.607647,,
10,U0001,PatientProfile,,read,True,ALLOW_Doctor_PatientProfile_read,HTTP_200,0,2026-01-14 16:05:26.665912,,
11,U0001,PatientProfile,,read,True,ALLOW_Doctor_PatientProfile_read,HTTP_200,0,2026-01-14 16:19:26.169449,,
12,U0392,AdmissionRecord,ADM-56884,read,True,ALLOW_DEFAULT,,0,2026-01-10 08:40:51.217637,10.0.0.10,Mozilla/5.0
13,U0508,AccessPolicy,ACC-89503,update,True,ALLOW_DEFAULT,,0,2025-10-25 18:17:51.217637,172.19.0.1,Mozilla/5.0
14,U0266,IncidentCase,INC-96602,update,True,ALLOW_DEFAULT,,0,2025-10-20 16:38:51.217637,192.168.1.20,PostmanRuntime/7.51.0
15,U0203,FinancialReport,FIN-61248,read,True,ALLOW_DEFAULT,,0,2025-12-29 09:53:51.217637,172.19.0.1,okhttp/4.11.0
16,U0430,IncidentCase,INC-94926,read,True,ALLOW_DEFAULT,,0,2025-11-20 20:25:51.217637,10.0.0.10,okhttp/4.11.0
17,U0415,BillingRecord,BIL-26152,create,False,DENY_POLICY,NOT_ALLOWED,3,2025-10-21 16:34:51.217637,10.0.0.10,okhttp/4.11.0
18,U0139,WorkSchedule,WOR-81765,read,True,ALLOW_DEFAULT,,0,2026-01-12 02:01:51.217637,10.0.0.10,Mozilla/5.0
19,U0062,VitalSigns,VIT-37752,update,True,ALLOW_DEFAULT,,0,2025-11-24 10:46:51.217637,10.0.1.11,PostmanRuntime/7.51.0
20,U0214,Appointment,APP-43127,update,True,ALLOW_DEFAULT,,0,2025-11-04 13:49:51.217637,10.0.0.10,PostmanRuntime/7.51.0
21,U0082,WorkSchedule,WOR-17128,read,True,ALLOW_DEFAULT,,0,2026-01-03 09:12:51.217637,192.168.1.20,okhttp/4.11.0
22,U0418,VitalSigns,VIT-98039,read,True,ALLOW_DEFAULT,,0,2025-10-24 00:28:51.217637,172.19.0.1,PostmanRuntime/7.51.0
